sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible,correction_strategy
FAR,1.0,0.2,Primary monthly criteria,Reselected at each detector condition,False,100000,35551,35551,0,35551,0,0,1.0,0.0,0.35551,0.35254884429760686,0.3584822563236674,15616,0.43925627971083797,0.43410414270994,0.444421542603487,21.212121212121215,20.63492063492063,21.95121951219512,8.51700041704865,8.166666666666666,8.166666666666666,16.109631234001856,14.247419200585075,9.0,8.0,1.8972485537209454,0.03503652030416397,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.2,Original 25-day rule retained,Reselected at each detector condition,True,100000,35544,35544,0,35544,0,0,1.0,0.0,0.35544,0.3524789779767564,0.35841212802235367,15616,0.43934278640558183,0.4341900234791773,0.44450865911185705,21.212121212121215,20.63492063492063,21.95121951219512,8.516636936963298,8.166666666666666,8.166666666666666,16.110018568534773,14.247139695401007,9.0,8.0,1.900827925325731,0.03794905219196241,Expected monthly correction + original daily rounding
FAR,1.0,0.2,25-day rule on observed days,Reselected at each detector condition,True,100000,35544,35544,0,35544,0,0,1.0,0.0,0.35544,0.3524789779767564,0.35841212802235367,15616,0.43934278640558183,0.4341900234791773,0.44450865911185705,21.212121212121215,20.63492063492063,21.95121951219512,8.516636936963298,8.166666666666666,8.166666666666666,16.110018568534773,14.247139695401007,9.0,8.0,1.900827925325731,0.03794905219196241,Expected monthly correction + observed daily intervals
FAR,1.0,0.2,25-day rule on latent true days,Reselected at each detector condition,True,100000,30973,30973,0,30973,0,0,1.0,0.0,0.30973,0.30687153249075516,0.31260308523510727,13200,0.426177638588448,0.4206798046135054,0.4316937820841844,19.999999999999996,19.379844961240313,20.833333333333336,8.789960631539312,8.472222222222221,8.472222222222221,16.965147063571496,14.800697381590417,9.5,8.333333333333334,2.158481221996219,-0.005968459984861366,Expected monthly correction + oracle daily intervals
FAR,1.0,0.2,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,95741,95741,0,95741,0,0,1.0,6.0,0.95741,0.9561407724233627,0.958644086492984,26381,0.2755454820818667,0.2727244330540682,0.2783845421643511,1.1494252873563204,0.0,1.5873015873015817,3.5864955942883565,3.0277777777777777,9.027777777777779,13.217738481946084,13.023929142164798,9.5,9.333333333333334,0.15710673123902566,-0.03670260854225926,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.2,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.3,Primary monthly criteria,Reselected at each detector condition,False,100000,35437,35437,0,35437,0,0,1.0,0.0,0.35437,0.3514110299808688,0.35734015822230225,16252,0.4586167000592601,0.45343350058339094,0.4638088706676442,23.809523809523814,23.076923076923073,24.6376811594203,8.39865946835112,8.027777777777779,8.027777777777779,16.225287129271667,14.14736951021061,9.0,8.0,2.1799272888036048,0.1020096697425478,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.3,Original 25-day rule retained,Reselected at each detector condition,True,100000,35436,35436,0,35436,0,0,1.0,0.0,0.35436,0.35140104923487875,0.35733013973655453,16252,0.4586296421718027,0.45344635704243763,0.46382189588113043,23.809523809523814,23.076923076923073,24.6376811594203,8.39859055358503,8.027777777777779,8.027777777777779,16.2254628061858,14.147590021447115,9.0,8.0,2.180119715041828,0.10224693030314431,Expected monthly correction + original daily rounding
FAR,1.0,0.3,25-day rule on observed days,Reselected at each detector condition,True,100000,35436,35436,0,35436,0,0,1.0,0.0,0.35436,0.35140104923487875,0.35733013973655453,16252,0.4586296421718027,0.45344635704243763,0.46382189588113043,23.809523809523814,23.076923076923073,24.6376811594203,8.39859055358503,8.027777777777779,8.027777777777779,16.2254628061858,14.147590021447115,9.0,8.0,2.180119715041828,0.10224693030314431,Expected monthly correction + observed daily intervals
FAR,1.0,0.3,25-day rule on latent true days,Reselected at each detector condition,True,100000,30064,30064,0,30064,0,0,1.0,0.0,0.30064,0.2978057167454874,0.3034895993307618,13081,0.4351051091005854,0.4295096551687718,0.4407171449377816,21.212121212121215,20.833333333333336,22.22222222222222,8.874412965585456,8.583333333333334,8.583333333333334,17.395689196381053,15.014169771154869,10.0,8.666666666666666,2.4162277881260716,0.03470836289988764,Expected monthly correction + oracle daily intervals
FAR,1.0,0.3,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,99667,99667,0,99667,0,0,1.0,9.0,0.99667,0.9962933550015242,0.9970084877172226,26533,0.26621650094815735,0.26348161416767013,0.2689694084390434,0.0,0.0,0.0,3.413880807152098,2.861111111111111,11.86111111111111,15.875801418724352,15.804355169380703,12.0,12.0,0.038800873575673654,-0.03264537576797402,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.3,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.4,Primary monthly criteria,Reselected at each detector condition,False,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.4,Original 25-day rule retained,Reselected at each detector condition,True,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603,Expected monthly correction + original daily rounding
FAR,1.0,0.4,25-day rule on observed days,Reselected at each detector condition,True,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603,Expected monthly correction + observed daily intervals
FAR,1.0,0.4,25-day rule on latent true days,Reselected at each detector condition,True,100000,29468,29468,0,29468,0,0,1.0,0.0,0.29468,0.2918622922534894,0.29751348170706177,13309,0.4516424596172119,0.4459671187576996,0.45733040664524677,23.076923076923073,22.22222222222222,23.809523809523814,8.907050196077897,8.61111111111111,8.61111111111111,17.695042079543914,15.163058232659155,10.0,8.666666666666666,2.6365728172179237,0.10458897033316746,Expected monthly correction + oracle daily intervals
FAR,1.0,0.4,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,99976,99976,0,99976,0,0,1.0,12.0,0.99976,0.9996428972381943,0.9998387080875166,26764,0.26770424901976475,0.2649686628638602,0.27045768586534014,0.0,0.0,0.0,3.401589787725321,2.8333333333333335,14.833333333333334,18.8505191245899,18.791509962390975,15.5,15.333333333333334,0.030834344687169356,-0.028174817511758404,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.4,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.5,Primary monthly criteria,Reselected at each detector condition,False,100000,35508,35508,0,35508,0,0,1.0,0.0,0.35508,0.3521196665633229,0.35805146709322827,17538,0.49391686380533967,0.48871756956243667,0.49911747412289437,27.27272727272727,26.66666666666667,27.77777777777778,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.5,Original 25-day rule retained,Reselected at each detector condition,True,100000,35508,35508,0,35508,0,0,1.0,0.0,0.35508,0.3521196665633229,0.35805146709322827,17538,0.49391686380533967,0.48871756956243667,0.49911747412289437,27.27272727272727,26.66666666666667,27.77777777777778,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154,Expected monthly correction + original daily rounding
FAR,1.0,0.5,25-day rule on observed days,Reselected at each detector condition,True,100000,35508,35508,0,35508,0,0,1.0,0.0,0.35508,0.3521196665633229,0.35805146709322827,17538,0.49391686380533967,0.48871756956243667,0.49911747412289437,27.27272727272727,26.66666666666667,27.77777777777778,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154,Expected monthly correction + observed daily intervals
FAR,1.0,0.5,25-day rule on latent true days,Reselected at each detector condition,True,100000,28909,28909,0,28909,0,0,1.0,0.0,0.28909,0.2862883664521142,0.2919078369670357,13260,0.4586806876751185,0.45294256819797196,0.46442978680205305,23.958333333333336,23.33333333333333,24.786324786324787,8.985543167082668,8.694444444444445,8.694444444444445,18.009097512885262,15.318136220554152,10.5,8.666666666666666,2.8353232941682904,0.1443620018371826,Expected monthly correction + oracle daily intervals
FAR,1.0,0.5,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,99998,99998,0,99998,0,0,1.0,15.0,0.99998,0.999927073162458,0.9999945152614834,26687,0.26687533750675013,0.26414278455659657,0.26962580090291133,0.0,-0.6802721088435382,0.0,3.400999935303484,2.8333333333333335,17.833333333333332,21.845291905838117,21.789535790715814,18.5,18.333333333333332,0.02662081019398165,-0.029135304928320796,Uncorrected observed counts; 25-day rule omitted
