sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible
sensitivity,0.7,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,25546,9847,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,12701,0.3588562710140423,0.3538746290193715,0.3638685483874845,13.333333333333341,12.82051282051282,14.28571428571429,8.752590654200395,8.416666666666666,5.891666666666666,11.170245528776876,10.20222454534324,6.0,5.666666666666667,0.915748876896562,-0.05227210653707354
sensitivity,0.8,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,29093,29093,0,29093,0,0,1.0,0.0,0.29093,0.2881230185398564,0.29375304351903925,11437,0.3931186195992163,0.3875204384901029,0.3987450223572044,16.666666666666664,16.666666666666664,17.730496453900713,9.83980825025989,10.13888888888889,8.111111111111112,14.628690750352318,13.06979914985277,8.5,7.333333333333333,1.4789212372582936,-0.07997036324125385
sensitivity,0.8,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,29093,6300,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,12868,0.36357471816460885,0.3585783636480386,0.36860068391657047,13.888888888888884,13.333333333333341,14.28571428571429,8.752590654200395,8.416666666666666,6.733333333333333,12.768796089622242,11.656476327710752,7.0,6.666666666666667,1.0493713446161665,-0.06294841729532268
sensitivity,0.9,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,32350,32350,0,32350,0,0,1.0,0.0,0.3235,0.3206073542425294,0.3264062055862125,12378,0.3826275115919629,0.37734544236685086,0.3879374527210325,15.555555555555555,15.151515151515149,16.666666666666664,9.222649070871338,9.027777777777779,8.125000000000002,15.292859350850078,13.82225656877898,8.5,7.666666666666667,1.3893068006182376,-0.0812959814528597
sensitivity,0.9,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,32350,3043,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13046,0.3686039612352725,0.3635924985007686,0.3736439436032418,13.777777777777766,13.333333333333341,14.28571428571429,8.752590654200395,8.416666666666666,7.574999999999999,14.363715989037381,13.11467427645768,8.0,7.333333333333333,1.179363150905546,-0.06967856167415434
sensitivity,1.0,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868
sensitivity,1.0,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868
FAR,1.0,0.0,Primary monthly criteria,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868
FAR,1.0,0.0,Perfect-detector monthly criteria held fixed,Fixed perfect-detector cohort,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868
FAR,1.0,0.1,Primary monthly criteria,Reselected at each detector condition,False,100000,35453,35453,0,35453,0,0,1.0,0.0,0.35453,0.35157072210923973,0.3575004538017353,14467,0.40806137703438355,0.40295569781640367,0.4131869778482881,17.948717948717952,17.09401709401709,18.518518518518523,8.639890218992017,8.305555555555555,8.305555555555555,16.070290243420867,14.418300284884213,9.0,8.0,1.63064479733732,-0.02134516119933432
