sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible
FAR,1.0,0.1,Original 25-day rule retained,Reselected at each detector condition,True,100000,35293,35293,0,35293,0,0,1.0,0.0,0.35293,0.3499738171488032,0.3558974816841321,14441,0.409174623863089,0.4040551284521065,0.4143138888584243,17.948717948717952,17.333333333333336,18.518518518518523,8.6175551306611,8.277777777777779,8.277777777777779,16.062491145552944,14.386507239395915,9.0,8.0,1.6578027748656483,-0.018181131291379767
FAR,1.0,0.1,25-day rule on observed days,Reselected at each detector condition,True,100000,35293,35293,0,35293,0,0,1.0,0.0,0.35293,0.3499738171488032,0.3558974816841321,14441,0.409174623863089,0.4040551284521065,0.4143138888584243,17.948717948717952,17.333333333333336,18.518518518518523,8.6175551306611,8.277777777777779,8.277777777777779,16.062491145552944,14.386507239395915,9.0,8.0,1.6578027748656483,-0.018181131291379767
FAR,1.0,0.1,25-day rule on latent true days,Reselected at each detector condition,True,100000,31981,31981,0,31981,0,0,1.0,0.0,0.31981,0.31692622756151684,0.3227076157559959,13034,0.40755448547575124,0.40218048609301615,0.4129506907298306,17.948717948717952,17.320261437908503,18.518518518518523,8.684184211994419,8.36111111111111,8.36111111111111,16.546121134423565,14.588099183890435,9.0,8.0,1.9107421420357225,-0.047279808497406435
FAR,1.0,0.2,Original 25-day rule retained,Reselected at each detector condition,True,100000,35544,35544,0,35544,0,0,1.0,0.0,0.35544,0.3524789779767564,0.35841212802235367,15616,0.43934278640558183,0.4341900234791773,0.44450865911185705,21.212121212121215,20.63492063492063,21.95121951219512,8.516636936963298,8.166666666666666,8.166666666666666,16.110018568534773,14.247139695401007,9.0,8.0,1.900827925325731,0.03794905219196241
FAR,1.0,0.2,25-day rule on observed days,Reselected at each detector condition,True,100000,35544,35544,0,35544,0,0,1.0,0.0,0.35544,0.3524789779767564,0.35841212802235367,15616,0.43934278640558183,0.4341900234791773,0.44450865911185705,21.212121212121215,20.63492063492063,21.95121951219512,8.516636936963298,8.166666666666666,8.166666666666666,16.110018568534773,14.247139695401007,9.0,8.0,1.900827925325731,0.03794905219196241
FAR,1.0,0.2,25-day rule on latent true days,Reselected at each detector condition,True,100000,30973,30973,0,30973,0,0,1.0,0.0,0.30973,0.30687153249075516,0.31260308523510727,13200,0.426177638588448,0.4206798046135054,0.4316937820841844,19.999999999999996,19.379844961240313,20.833333333333336,8.789960631539312,8.472222222222221,8.472222222222221,16.965147063571496,14.800697381590417,9.5,8.333333333333334,2.158481221996219,-0.005968459984861366
FAR,1.0,0.3,Original 25-day rule retained,Reselected at each detector condition,True,100000,35436,35436,0,35436,0,0,1.0,0.0,0.35436,0.35140104923487875,0.35733013973655453,16252,0.4586296421718027,0.45344635704243763,0.46382189588113043,23.809523809523814,23.076923076923073,24.6376811594203,8.39859055358503,8.027777777777779,8.027777777777779,16.2254628061858,14.147590021447115,9.0,8.0,2.180119715041828,0.10224693030314431
FAR,1.0,0.3,25-day rule on observed days,Reselected at each detector condition,True,100000,35436,35436,0,35436,0,0,1.0,0.0,0.35436,0.35140104923487875,0.35733013973655453,16252,0.4586296421718027,0.45344635704243763,0.46382189588113043,23.809523809523814,23.076923076923073,24.6376811594203,8.39859055358503,8.027777777777779,8.027777777777779,16.2254628061858,14.147590021447115,9.0,8.0,2.180119715041828,0.10224693030314431
FAR,1.0,0.3,25-day rule on latent true days,Reselected at each detector condition,True,100000,30064,30064,0,30064,0,0,1.0,0.0,0.30064,0.2978057167454874,0.3034895993307618,13081,0.4351051091005854,0.4295096551687718,0.4407171449377816,21.212121212121215,20.833333333333336,22.22222222222222,8.874412965585456,8.583333333333334,8.583333333333334,17.395689196381053,15.014169771154869,10.0,8.666666666666666,2.4162277881260716,0.03470836289988764
FAR,1.0,0.4,Original 25-day rule retained,Reselected at each detector condition,True,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603
FAR,1.0,0.4,25-day rule on observed days,Reselected at each detector condition,True,100000,35512,35512,0,35512,0,0,1.0,0.0,0.35512,0.3521595899632389,0.3580915406202632,17045,0.4799785987835098,0.4747848902287489,0.4851766384415275,25.71428571428571,25.0,26.190476190476186,8.273565886752431,7.861111111111111,7.861111111111111,16.29996902455508,14.061575429901628,9.5,7.666666666666667,2.4301769667843107,0.1917833721308603
FAR,1.0,0.4,25-day rule on latent true days,Reselected at each detector condition,True,100000,29468,29468,0,29468,0,0,1.0,0.0,0.29468,0.2918622922534894,0.29751348170706177,13309,0.4516424596172119,0.4459671187576996,0.45733040664524677,23.076923076923073,22.22222222222222,23.809523809523814,8.907050196077897,8.61111111111111,8.61111111111111,17.695042079543914,15.163058232659155,10.0,8.666666666666666,2.6365728172179237,0.10458897033316746
FAR,1.0,0.5,Original 25-day rule retained,Reselected at each detector condition,True,100000,35508,35508,0,35508,0,0,1.0,0.0,0.35508,0.3521196665633229,0.35805146709322827,17538,0.49391686380533967,0.48871756956243667,0.49911747412289437,27.27272727272727,26.66666666666667,27.77777777777778,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154
FAR,1.0,0.5,25-day rule on observed days,Reselected at each detector condition,True,100000,35508,35508,0,35508,0,0,1.0,0.0,0.35508,0.3521196665633229,0.35805146709322827,17538,0.49391686380533967,0.48871756956243667,0.49911747412289437,27.27272727272727,26.66666666666667,27.77777777777778,8.187957632359142,7.777777777777778,7.777777777777778,16.416708910668017,14.02252074649844,9.5,7.666666666666667,2.6608729801108986,0.26668481594132154
FAR,1.0,0.5,25-day rule on latent true days,Reselected at each detector condition,True,100000,28909,28909,0,28909,0,0,1.0,0.0,0.28909,0.2862883664521142,0.2919078369670357,13260,0.4586806876751185,0.45294256819797196,0.46442978680205305,23.958333333333336,23.33333333333333,24.786324786324787,8.985543167082668,8.694444444444445,8.694444444444445,18.009097512885262,15.318136220554152,10.5,8.666666666666666,2.8353232941682904,0.1443620018371826
FAR,1.0,0.6,Original 25-day rule retained,Reselected at each detector condition,True,100000,35257,35257,0,35257,0,0,1.0,0.0,0.35257,0.3496145185374743,0.355536807952902,17917,0.5081827722154466,0.5029637663157465,0.5133999951864812,28.205128205128204,27.77777777777778,28.888888888888886,8.084093440500055,7.666666666666667,7.666666666666667,16.54492724848966,13.984485350426864,9.5,7.666666666666667,2.8910082473771954,0.3305663493143993
FAR,1.0,0.6,25-day rule on observed days,Reselected at each detector condition,True,100000,35462,35462,0,35462,0,0,1.0,0.0,0.35462,0.35166054909068356,0.3575906199059311,17998,0.5075291861711128,0.5023252520944944,0.5127314892102347,28.205128205128204,27.61904761904762,28.735632183908045,8.079220927948306,7.666666666666667,7.666666666666667,16.514832778749085,13.970954824882973,9.5,7.666666666666667,2.876137367698757,0.3322594138326471
FAR,1.0,0.6,25-day rule on latent true days,Reselected at each detector condition,True,100000,28446,28446,0,28446,0,0,1.0,0.0,0.28446,0.28167207323196014,0.28726448589261216,13321,0.4682907965970611,0.46249674474150626,0.4740934115652987,25.0,24.0,25.49019607843137,9.026586592970592,8.722222222222221,8.722222222222221,18.27726218097448,15.447022428460944,11.0,9.0,3.023916660807612,0.19367690829407766
FAR,1.0,0.7,Original 25-day rule retained,Reselected at each detector condition,True,100000,35315,35315,0,35315,0,0,1.0,0.0,0.35315,0.3501933894282526,0.35611789250291315,18240,0.516494407475577,0.5112809249055453,0.5217043020124529,28.888888888888896,28.248587570621464,29.55974842767295,8.005808178331048,7.583333333333333,7.583333333333333,16.644825145122468,13.972608428901788,10.0,7.666666666666667,3.084918275205688,0.4127015589850079
FAR,1.0,0.7,25-day rule on observed days,Reselected at each detector condition,True,100000,35372,35372,0,35372,0,0,1.0,0.0,0.35372,0.3507622844376016,0.3566889537026158,18258,0.5161709826981794,0.5109616284101346,0.5213768249756789,28.888888888888896,28.205128205128204,29.52380952380952,8.008763199099164,7.583333333333333,7.583333333333333,16.638753816578085,13.970230690941989,10.0,7.666666666666667,3.0790769849347255,0.4105538592986292
FAR,1.0,0.7,25-day rule on latent true days,Reselected at each detector condition,True,100000,28005,28005,0,28005,0,0,1.0,0.0,0.28005,0.27727546497670286,0.28284143295152253,13319,0.47559364399214427,0.46974838242247796,0.48144560030580463,25.49019607843137,24.6376811594203,25.92592592592593,9.05816935918421,8.75,8.75,18.540046420282092,15.568779384633695,11.0,9.0,3.2196502608661155,0.24838322521771905
FAR,1.0,0.8,Original 25-day rule retained,Reselected at each detector condition,True,100000,35309,35309,0,35309,0,0,1.0,0.0,0.35309,0.35013350601118226,0.356057780529557,18417,0.521595060749384,0.5163826078850317,0.526802815235856,29.6969696969697,29.166666666666664,30.434782608695656,7.937167841890243,7.527777777777778,7.527777777777778,16.766206916083718,13.975926817525277,10.0,7.666666666666667,3.2562574540328084,0.4659773554743676
FAR,1.0,0.8,25-day rule on observed days,Reselected at each detector condition,True,100000,35321,35321,0,35321,0,0,1.0,0.0,0.35321,0.350253272896411,0.35617800442518127,18422,0.5215594122476713,0.5163478330248001,0.526766302442033,29.6969696969697,29.166666666666664,30.434782608695656,7.937736902545781,7.527777777777778,7.527777777777778,16.76509725092721,13.975019582307032,10.0,7.666666666666667,3.2549199563369604,0.46484228771678165
FAR,1.0,0.8,25-day rule on latent true days,Reselected at each detector condition,True,100000,27690,27690,0,27690,0,0,1.0,0.0,0.2769,0.2741352340129094,0.2796819059179252,13220,0.4774286746117732,0.4715490122182046,0.48331459881753097,25.92592592592592,25.33333333333333,26.66666666666667,9.089774218980953,8.805555555555555,8.805555555555555,18.762676056338027,15.688299024918743,11.5,9.0,3.3608864010272463,0.28650936960796114
FAR,1.0,0.9,Original 25-day rule retained,Reselected at each detector condition,True,100000,35224,35224,0,35224,0,0,1.0,0.0,0.35224,0.3492851630945293,0.3552061887485013,18731,0.5317681126504656,0.5265539395889938,0.5369753573341827,30.434782608695656,29.629629629629626,31.29770992366412,7.8539974461354545,7.444444444444445,7.444444444444445,16.886611401317285,13.966367628132335,10.0,7.666666666666667,3.4540859136447373,0.5338421404597875
FAR,1.0,0.9,25-day rule on observed days,Reselected at each detector condition,True,100000,35224,35224,0,35224,0,0,1.0,0.0,0.35224,0.3492851630945293,0.3552061887485013,18731,0.5317681126504656,0.5265539395889938,0.5369753573341827,30.434782608695656,29.629629629629626,31.29770992366412,7.8539974461354545,7.444444444444445,7.444444444444445,16.886611401317285,13.966367628132335,10.0,7.666666666666667,3.4540859136447373,0.5338421404597875
FAR,1.0,0.9,25-day rule on latent true days,Reselected at each detector condition,True,100000,27287,27287,0,27287,0,0,1.0,0.0,0.27287,0.27011798262402603,0.27563946691649605,13260,0.4859456884230586,0.4800178943455097,0.49187743907037884,26.315789473684216,25.64102564102565,27.083333333333336,9.126281952592723,8.86111111111111,8.86111111111111,19.020614211895776,15.816396086048302,11.5,9.333333333333334,3.5366037144264872,0.332385588579014
FAR,1.0,1.0,Original 25-day rule retained,Reselected at each detector condition,True,100000,35134,35134,0,35134,0,0,1.0,0.0,0.35134,0.3483869288489487,0.3543044921376846,18845,0.5363750213468436,0.5311569565512897,0.5415851327143664,31.182795698924735,30.434782608695656,33.33333333333333,7.806436828291843,7.388888888888889,7.388888888888889,16.99090624466329,13.988074230090511,10.5,8.0,3.601032238477448,0.5982002239046698
FAR,1.0,1.0,25-day rule on observed days,Reselected at each detector condition,True,100000,35134,35134,0,35134,0,0,1.0,0.0,0.35134,0.3483869288489487,0.3543044921376846,18845,0.5363750213468436,0.5311569565512897,0.5415851327143664,31.182795698924735,30.434782608695656,33.33333333333333,7.806436828291843,7.388888888888889,7.388888888888889,16.99090624466329,13.988074230090511,10.5,8.0,3.601032238477448,0.5982002239046698
FAR,1.0,1.0,25-day rule on latent true days,Reselected at each detector condition,True,100000,27003,27003,0,27003,0,0,1.0,0.0,0.27003,0.26728713755147004,0.27279053017553145,13232,0.490019627448802,0.4840590099523488,0.4959830841658452,26.66666666666667,25.92592592592593,27.536231884057973,9.143592019166915,8.88888888888889,8.88888888888889,19.197607673221494,15.907022676492737,12.0,9.333333333333334,3.6762695091491895,0.3856845124204307
