Sensitivity,FAR,CorrectFAR,useBaselineTF,drugEffect,N_for_90M,N_for_90R,FractionEligible,Mean_mSF_median,MPC_pcb,MPC_drug,rtm_fraction
1,0.0,True,False,0.2,198,612,0.3305563515066932,8.62218332783586,-1.7242043423800384,18.64422913797248,0.2578191983122363
1,0.0,True,True,0.2,164,406,0.3304744585249924,8.623247724724102,14.43725559521561,31.531740149883497,0.36679029535864976
1,0.0,True,True,0.31,56,134,0.3308849167979724,8.624420191374996,14.415128410760452,40.89002288224031,0.36681105527638197
0.9,0.0,True,True,0.31,58,130,0.3011888871194459,9.039943940212517,15.896393604533278,41.95841353902869,0.38400577889447235
0.8,0.0,True,True,0.31,62,134,0.2689508587291971,9.574610103591313,17.695652530877698,43.257992824718436,0.40587010050251254
0.7,0.0,True,True,0.31,66,130,0.23392559483112496,10.344544394951338,20.02529872678485,44.82464022437298,0.4319334170854271
0.6,0.0,True,True,0.31,70,136,0.19657216278729928,11.44089022799303,22.708709221719264,46.68979576443584,0.4646218592964824
0.5,0.0,True,True,0.31,76,142,0.15763062641333325,12.96324258095273,26.01397987485518,48.911921873841024,0.5034572864321608
0.4,0.0,True,True,0.31,82,152,0.1186921690148901,15.06999559106527,29.51863390737839,51.37224696111781,0.5453329145728644
0.3,0.0,True,True,0.31,94,170,0.08177265758343107,18.019132549427763,33.21167081532749,53.85299051586661,0.5833492462311558
0.2,0.0,True,True,0.31,102,190,0.04744945969996064,22.484503075417127,38.297881240253055,57.36616454211073,0.635106783919598
0.1,0.0,True,True,0.31,112,208,0.016151540787348644,32.81883246690588,47.84940348795266,64.03909164147358,0.7285854271356783
1,0.0,True,True,0.31,58,126,0.33078773995266564,8.628339593783348,14.424796588512574,40.91309505614731,0.36688504464285715
1,0.0,False,True,0.31,58,132,0.33074552703527677,8.623791638906727,14.477981447500643,40.954067670434746,0.3673113839285715
1,0.03333333333333333,True,True,0.31,50,120,0.4327863365361364,7.498218226703467,12.295478547795312,39.47075824538575,0.46196473214285716
1,0.03333333333333333,False,True,0.31,50,122,0.43272560376012126,7.503599693671402,12.263438883090787,39.461963871120304,0.4614408482142857
1,0.14285714285714285,True,True,0.31,40,98,0.8512975852204426,4.111129115329452,4.553689567129174,34.08307792059957,0.5213770089285714
1,0.14285714285714285,False,True,0.31,40,96,0.8513322272853988,4.10753872550178,4.510500362292996,34.10648015362466,0.5215180803571429
1,1,True,True,0.31,40,106,0.9961364354743669,3.433946050798407,-0.48005284535198633,30.686602699272218,0.48320959821428566
1,1,False,True,0.31,40,406,1.0,3.419087710548023,-0.20286460144294594,30.870388858245267,0.489928125
